,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Type,ID,URI,Track Href,Analysis URL,Duration (ms),Time Signature
39,Paprika,0.746,0.773,11,-5.04,1,0.0442,0.137,0.0,0.771,0.733,100.993,audio_features,0bdYJCO9clK9ew61Z7GqMf,spotify:track:0bdYJCO9clK9ew61Z7GqMf,https://api.spotify.com/v1/tracks/0bdYJCO9clK9ew61Z7GqMf,https://api.spotify.com/v1/audio-analysis/0bdYJCO9clK9ew61Z7GqMf,208347,4
40,No Regret,0.528,0.617,2,-5.07,1,0.0263,0.0303,0.0,0.334,0.497,72.023,audio_features,5TIMNeqGc26Ohw0yfcAfGB,spotify:track:5TIMNeqGc26Ohw0yfcAfGB,https://api.spotify.com/v1/tracks/5TIMNeqGc26Ohw0yfcAfGB,https://api.spotify.com/v1/audio-analysis/5TIMNeqGc26Ohw0yfcAfGB,304813,4
41,空の青さを知る人よ,0.574,0.714,7,-1.969,1,0.0329,0.18,0.0,0.31,0.633,107.985,audio_features,3u0e8pyoVc7l2u3T5thohY,spotify:track:3u0e8pyoVc7l2u3T5thohY,https://api.spotify.com/v1/tracks/3u0e8pyoVc7l2u3T5thohY,https://api.spotify.com/v1/audio-analysis/3u0e8pyoVc7l2u3T5thohY,304933,4
42,Shape of You,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4
43,トリコ,0.63,0.8,2,-3.427,1,0.036,0.0851,0.0,0.0618,0.717,90.02,audio_features,7H5uStZMOGpcVw7eW0eyTi,spotify:track:7H5uStZMOGpcVw7eW0eyTi,https://api.spotify.com/v1/tracks/7H5uStZMOGpcVw7eW0eyTi,https://api.spotify.com/v1/audio-analysis/7H5uStZMOGpcVw7eW0eyTi,232440,4
44,愛唄,0.503,0.778,8,-4.646,1,0.0333,0.0877,0.0,0.194,0.411,170.114,audio_features,6FedXvkNJwSvSctNbX0pEy,spotify:track:6FedXvkNJwSvSctNbX0pEy,https://api.spotify.com/v1/tracks/6FedXvkNJwSvSctNbX0pEy,https://api.spotify.com/v1/audio-analysis/6FedXvkNJwSvSctNbX0pEy,236547,4
45,ひまわりの約束,0.475,0.468,10,-6.123,1,0.0343,0.167,0.0,0.186,0.365,157.798,audio_features,4SWzCUmuOQiPb6MJhrqZlJ,spotify:track:4SWzCUmuOQiPb6MJhrqZlJ,https://api.spotify.com/v1/tracks/4SWzCUmuOQiPb6MJhrqZlJ,https://api.spotify.com/v1/audio-analysis/4SWzCUmuOQiPb6MJhrqZlJ,308640,4
46,Vintage,0.449,0.819,2,-5.169,1,0.0513,0.204,0.0,0.289,0.507,180.019,audio_features,0VJjfALZ6SuIQumrTgF3tJ,spotify:track:0VJjfALZ6SuIQumrTgF3tJ,https://api.spotify.com/v1/tracks/0VJjfALZ6SuIQumrTgF3tJ,https://api.spotify.com/v1/audio-analysis/0VJjfALZ6SuIQumrTgF3tJ,252566,4
47,ヒロイン,0.431,0.598,7,-3.733,1,0.0296,0.209,0.0,0.218,0.356,76.18,audio_features,3hBAYbAECEix9raaTq8S3H,spotify:track:3hBAYbAECEix9raaTq8S3H,https://api.spotify.com/v1/tracks/3hBAYbAECEix9raaTq8S3H,https://api.spotify.com/v1/audio-analysis/3hBAYbAECEix9raaTq8S3H,269787,4
48,貴方解剖純愛歌〜死ね〜,0.422,0.918,7,-3.347,1,0.069,0.0028,0.0,0.0409,0.469,168.029,audio_features,2H3bOGOE50qEo5wAYoJiwL,spotify:track:2H3bOGOE50qEo5wAYoJiwL,https://api.spotify.com/v1/tracks/2H3bOGOE50qEo5wAYoJiwL,https://api.spotify.com/v1/audio-analysis/2H3bOGOE50qEo5wAYoJiwL,266520,4
49,愛を伝えたいだとか,0.673,0.85,2,-5.021,1,0.0337,0.0345,1.14e-05,0.0943,0.793,100.008,audio_features,0N8Xztr4pBHJ7V0moJWhbO,spotify:track:0N8Xztr4pBHJ7V0moJWhbO,https://api.spotify.com/v1/tracks/0N8Xztr4pBHJ7V0moJWhbO,https://api.spotify.com/v1/audio-analysis/0N8Xztr4pBHJ7V0moJWhbO,235241,4
